method,image,ground_truth,predictions,tp,fp,fn
Classical,frame_000322.jpg,5,8,0,8,5
Classical,frame_000330.jpg,6,7,0,7,6
Classical,frame_000338.jpg,7,6,0,6,7
Classical,frame_000346.jpg,9,5,0,5,9
Classical,frame_000354.jpg,8,4,0,4,8
Classical,frame_000361.jpg,7,4,0,4,7
Classical,frame_000369.jpg,8,4,0,4,8
Classical,frame_000377.jpg,8,4,0,4,8
Classical,frame_000385.jpg,7,4,0,4,7
Classical,frame_000393.jpg,9,3,0,3,9
Classical,frame_000401.jpg,9,5,0,5,9
Classical,frame_000409.jpg,9,6,0,6,9
Classical,frame_000417.jpg,9,6,0,6,9
Classical,frame_000424.jpg,10,8,0,8,10
Classical,frame_000432.jpg,8,9,0,9,8
Classical,frame_000440.jpg,8,10,0,10,8
Classical,frame_000448.jpg,9,9,0,9,9
Classical,frame_000456.jpg,11,8,0,8,11
Classical,frame_000464.jpg,11,9,1,8,10
Classical,frame_000472.jpg,8,10,1,9,7
Classical,frame_000479.jpg,10,9,0,9,10
Classical,frame_000487.jpg,10,9,0,9,10
Classical,frame_000495.jpg,11,7,0,7,11
Classical,frame_000503.jpg,13,9,0,9,13
Classical,frame_000511.jpg,12,9,0,9,12
Classical,frame_000519.jpg,11,9,0,9,11
Classical,frame_000527.jpg,11,9,0,9,11
Classical,frame_000535.jpg,13,11,0,11,13
Classical,frame_000542.jpg,14,9,0,9,14
Classical,frame_000550.jpg,9,8,0,8,9
Classical,frame_000558.jpg,9,6,0,6,9
Classical,frame_000566.jpg,10,9,0,9,10
Classical,frame_000574.jpg,10,10,0,10,10
Classical,frame_000582.jpg,9,11,0,11,9
Classical,frame_000590.jpg,8,9,0,9,8
Classical,frame_000598.jpg,9,10,0,10,9
Classical,frame_000605.jpg,9,7,0,7,9
Classical,frame_000613.jpg,8,5,0,5,8
Classical,frame_000621.jpg,9,7,0,7,9
Classical,frame_000629.jpg,8,4,0,4,8
Classical,frame_000637.jpg,5,7,0,7,5
Classical,frame_000645.jpg,5,6,0,6,5
Classical,frame_000653.jpg,6,3,0,3,6
Classical,frame_000660.jpg,8,3,0,3,8
Classical,frame_000668.jpg,9,5,0,5,9
Classical,frame_000676.jpg,8,4,0,4,8
Classical,frame_000684.jpg,8,5,0,5,8
Classical,frame_000692.jpg,9,4,0,4,9
Classical,frame_000700.jpg,6,3,0,3,6
Classical,frame_000708.jpg,6,4,0,4,6
Classical,frame_000716.jpg,5,5,0,5,5
Classical,frame_000723.jpg,5,7,0,7,5
Classical,frame_000731.jpg,5,6,0,6,5
Classical,frame_000739.jpg,6,3,1,2,5
Classical,frame_000747.jpg,8,3,0,3,8
Classical,frame_000755.jpg,6,4,0,4,6
Classical,frame_000763.jpg,6,6,0,6,6
Classical,frame_000771.jpg,6,5,0,5,6
Classical,frame_000779.jpg,5,7,0,7,5
YOLO11,frame_000000.jpg,13,12,12,0,1
YOLO11,frame_000007.jpg,14,12,12,0,2
YOLO11,frame_000015.jpg,12,10,10,0,2
YOLO11,frame_000023.jpg,13,13,13,0,0
YOLO11,frame_000031.jpg,13,10,10,0,3
YOLO11,frame_000039.jpg,14,10,10,0,4
YOLO11,frame_000047.jpg,12,9,9,0,3
YOLO11,frame_000055.jpg,11,11,11,0,0
YOLO11,frame_000062.jpg,11,9,9,0,2
YOLO11,frame_000070.jpg,11,9,9,0,2
YOLO11,frame_000078.jpg,9,8,8,0,1
YOLO11,frame_000086.jpg,11,10,10,0,1
YOLO11,frame_000094.jpg,13,9,9,0,4
YOLO11,frame_000102.jpg,9,9,9,0,0
YOLO11,frame_000110.jpg,9,8,8,0,1
YOLO11,frame_000118.jpg,10,8,8,0,2
YOLO11,frame_000125.jpg,11,6,6,0,5
YOLO11,frame_000133.jpg,8,6,6,0,2
YOLO11,frame_000141.jpg,7,4,4,0,3
YOLO11,frame_000149.jpg,11,5,5,0,6
YOLO11,frame_000157.jpg,8,4,4,0,4
YOLO11,frame_000165.jpg,10,4,4,0,6
YOLO11,frame_000173.jpg,8,3,3,0,5
YOLO11,frame_000180.jpg,10,4,4,0,6
YOLO11,frame_000188.jpg,9,5,5,0,4
YOLO11,frame_000196.jpg,10,6,6,0,4
YOLO11,frame_000204.jpg,7,6,6,0,1
YOLO11,frame_000212.jpg,10,7,7,0,3
YOLO11,frame_000220.jpg,9,7,7,0,2
YOLO11,frame_000228.jpg,8,5,5,0,3
YOLO11,frame_000236.jpg,8,7,7,0,1
YOLO11,frame_000243.jpg,12,7,7,0,5
YOLO11,frame_000251.jpg,10,8,8,0,2
YOLO11,frame_000259.jpg,11,7,7,0,4
YOLO11,frame_000267.jpg,12,8,8,0,4
YOLO11,frame_000275.jpg,9,7,7,0,2
YOLO11,frame_000283.jpg,9,8,8,0,1
YOLO11,frame_000291.jpg,9,7,7,0,2
YOLO11,frame_000299.jpg,8,8,8,0,0
YOLO11,frame_000306.jpg,8,7,7,0,1
YOLO11,frame_000314.jpg,6,5,5,0,1
YOLO11,frame_000322.jpg,5,4,4,0,1
YOLO11,frame_000330.jpg,6,4,4,0,2
YOLO11,frame_000338.jpg,7,5,5,0,2
YOLO11,frame_000346.jpg,9,5,5,0,4
YOLO11,frame_000354.jpg,8,4,4,0,4
YOLO11,frame_000361.jpg,7,4,4,0,3
YOLO11,frame_000369.jpg,8,3,3,0,5
YOLO11,frame_000377.jpg,8,5,5,0,3
YOLO11,frame_000385.jpg,7,6,6,0,1
YOLO11,frame_000393.jpg,9,3,3,0,6
YOLO11,frame_000401.jpg,9,5,5,0,4
YOLO11,frame_000409.jpg,9,6,6,0,3
YOLO11,frame_000417.jpg,9,6,6,0,3
YOLO11,frame_000424.jpg,10,7,7,0,3
YOLO11,frame_000432.jpg,8,7,7,0,1
YOLO11,frame_000440.jpg,8,8,8,0,0
YOLO11,frame_000448.jpg,9,9,9,0,0
YOLO11,frame_000456.jpg,11,9,9,0,2
YOLO11,frame_000464.jpg,11,8,8,0,3
YOLO11,frame_000472.jpg,8,7,7,0,1
YOLO11,frame_000479.jpg,10,9,9,0,1
YOLO11,frame_000487.jpg,10,8,8,0,2
YOLO11,frame_000495.jpg,11,9,9,0,2
YOLO11,frame_000503.jpg,13,9,9,0,4
YOLO11,frame_000511.jpg,12,8,8,0,4
YOLO11,frame_000519.jpg,11,9,9,0,2
YOLO11,frame_000527.jpg,11,9,9,0,2
YOLO11,frame_000535.jpg,13,8,8,0,5
YOLO11,frame_000542.jpg,14,9,9,0,5
YOLO11,frame_000550.jpg,9,8,8,0,1
YOLO11,frame_000558.jpg,9,8,8,0,1
YOLO11,frame_000566.jpg,10,9,9,0,1
YOLO11,frame_000574.jpg,10,9,9,0,1
YOLO11,frame_000582.jpg,9,8,8,0,1
YOLO11,frame_000590.jpg,8,8,8,0,0
YOLO11,frame_000598.jpg,9,8,8,0,1
YOLO11,frame_000605.jpg,9,9,9,0,0
YOLO11,frame_000613.jpg,8,8,8,0,0
YOLO11,frame_000621.jpg,9,7,7,0,2
YOLO11,frame_000629.jpg,8,7,7,0,1
YOLO11,frame_000637.jpg,5,5,5,0,0
YOLO11,frame_000645.jpg,5,5,5,0,0
YOLO11,frame_000653.jpg,6,5,5,0,1
YOLO11,frame_000660.jpg,8,6,6,0,2
YOLO11,frame_000668.jpg,9,7,7,0,2
YOLO11,frame_000676.jpg,8,6,6,0,2
YOLO11,frame_000684.jpg,8,7,7,0,1
YOLO11,frame_000692.jpg,9,6,6,0,3
YOLO11,frame_000700.jpg,6,6,6,0,0
YOLO11,frame_000708.jpg,6,6,6,0,0
YOLO11,frame_000716.jpg,5,5,5,0,0
YOLO11,frame_000723.jpg,5,5,5,0,0
YOLO11,frame_000731.jpg,5,5,5,0,0
YOLO11,frame_000739.jpg,6,6,6,0,0
YOLO11,frame_000747.jpg,8,7,7,0,1
YOLO11,frame_000755.jpg,6,5,5,0,1
YOLO11,frame_000763.jpg,6,5,5,0,1
YOLO11,frame_000771.jpg,6,5,5,0,1
YOLO11,frame_000779.jpg,5,4,4,0,1
